Game ID,Date,Away Team,Home Team,Away Roster,Home Roster,Away Score,Home Score,Away Goalie,Home Goalie
401560497,"4:30 PM, April 13, 2024",NYI,NYR,"M. Barzal, C. Cizikas, C. Clutterbuck, P. Engvall, H. Fasching, B. Horvat, A. Lee, K. MacLean, M. Martin, B. Nelson, J. Pageau, K. Palmieri, S. Aho, R. Bortuzzo, A. Pelech, R. Pulock, M. Reilly, A. Romanov","W. Cuylle, B. Goodrow, K. Kakko, C. Kreider, A. Lafreniere, A. Panarin, M. Rempe, J. Roslovic, V. Trocheck, J. Vesey, A. Wennberg, M. Zibanejad, A. Fox, E. Gustafsson, R. Lindgren, K. Miller, B. Schneider, J. Trouba",2,3,I. Sorokin,I. Shesterkin
401560470,"11:00 PM, April 9, 2024",OTT,FLA,"D. Batherson, C. Giroux, R. Greig, B. Imama, M. Joseph, M. Kastelic, B. Katchouk, P. Kelly, Z. MacEwen, S. Pinto, J. Smejkal, B. Tkachuk, J. Bernard-Docker, E. Brannstrom, T. Chabot, J. Chychrun, J. Sanderson, A. Zub","A. Barkov, S. Bennett, N. Cousins, J. Gadjovich, R. Lomberg, A. Lundell, E. Luostarinen, S. Reinhart, E. Rodrigues, K. Stenlund, V. Tarasenko, M. Tkachuk, U. Balinskis, G. Forsling, D. Kulikov, J. Mahura, N. Mikkola, B. Montour",0,2,J. Korpisalo,A. Stolarz
401559760,"12:00 AM, December 28, 2023",WSH,NYR,"N. Aube-Kubel, N. Dowd, E. Kuznetsov, H. Lapierre, B. Malenstyn, A. Mantha, C. McMichael, I. Miroshnichenko, A. Ovechkin, A. Protas, D. Strome, T. Wilson, J. Carlson, J. Edmundson, M. Fehervary, N. Jensen, R. Sandin, T. van Riemsdyk","N. Bonino, J. Brodzinski, W. Cuylle, B. Goodrow, C. Kreider, A. Lafreniere, A. Panarin, T. Pitlick, V. Trocheck, J. Vesey, B. Wheeler, M. Zibanejad, A. Fox, E. Gustafsson, R. Lindgren, K. Miller, B. Schneider, J. Trouba",1,5,D. Kuemper,I. Shesterkin
401559944,"3:00 AM, January 21, 2024",PIT,VGK,"N. Acciari, J. Carter, S. Crosby, L. Eller, J. Guentzel, J. Harkins, E. Malkin, D. O'Connor, V. Puustinen, R. Rakell, B. Rust, C. White, R. Graves, P. Joseph, E. Karlsson, K. Letang, M. Pettersson, C. Ruhwedel","I. Barbashev, B. Brisson, P. Cotter, P. Dorofeyev, B. Froese, B. Howden, K. Kolesar, J. Marchessault, J. Rondbjerg, N. Roy, C. Stephenson, M. Stone, N. Hague, K. Korczak, A. Martinez, B. McNabb, A. Pietrangelo, Z. Whitecloud",2,3,T. Jarry,L. Thompson
401560389,"2:00 AM, March 29, 2024",NSH,ARI,"L. Evangelista, F. Forsberg, C. Glass, M. Jankowski, M. McCarron, T. Novak, G. Nyquist, R. O'Reilly, K. Sherwood, C. Sissons, C. Smith, J. Zucker, T. Barrie, R. Josi, J. Lauzon, R. McDonagh, L. Schenn, S. Stastney","N. Bjugstad, M. Carcone, L. Cooley, L. Crouse, J. Doan, D. Guenther, C. Keller, A. Kerfoot, M. Maccelli, J. McBain, L. O'Brien, N. Schmaltz, J. Brown, T. Dermott, S. Durzi, M. Kesselring, J.J. Moser, J. Valimaki",4,8,K. Lankinen,C. Ingram
401560250,"7:30 PM, March 10, 2024",NSH,MIN,"A. Beauvillier, L. Evangelista, F. Forsberg, M. Jankowski, M. McCarron, T. Novak, G. Nyquist, R. O'Reilly, K. Sherwood, C. Sissons, C. Smith, J. Zucker, A. Carrier, D. Fabbro, R. Josi, J. Lauzon, R. McDonagh, L. Schenn","A. Beckman, M. Boldy, J. Eriksson Ek, M. Foligno, F. Gaudreau, R. Hartman, K. Kaprizov, V. Lettieri, J. Lucchini, M. Rossi, M. Shaw, M. Zuccarello, Z. Bogosian, J. Brodin, D. Chisholm, B. Faber, J. Merrill, J. Middleton",3,4,J. Saros,M. Fleury
401559650,"9:00 PM, December 10, 2023",NJ,EDM,"N. Bastian, J. Bratt, N. Hischier, A. Holtz, J. Hughes, C. Lazar, M. McLeod, T. Meier, D. Mercer, O. Palat, C. Tierney, T. Toffoli, K. Bahl, L. Hughes, J. Marino, C. Miller, S. Nemec, J. Siegenthaler","C. Brown, L. Draisaitl, W. Foegele, S. Gagner, J. Hamblin, Z. Hyman, M. Janmark, E. Kane, C. McDavid, R. McLeod, R. Nugent-Hopkins, D. Ryan, E. Bouchard, C. Ceci, V. Desharnais, M. Ekholm, B. Kulak, D. Nurse",1,4,A. Schmid,C. Pickard
401560039,"12:00 AM, February 11, 2024",TOR,OTT,"T. Bertuzzi, M. Domi, N. Gregor, P. Holmberg, M. Knies, M. Marner, A. Matthews, B. McMann, W. Nylander, R. Reaves, N. Robertson, J. Tavares, S. Benoit, T. Brodie, W. Lagesson, T. Liljegren, J. McCabe, M. Rielly","D. Batherson, C. Giroux, R. Greig, M. Joseph, M. Kastelic, P. Kelly, D. Kubalik, J. Norris, S. Pinto, T. Stutzle, V. Tarasenko, B. Tkachuk, J. Bernard-Docker, E. Brannstrom, T. Chabot, J. Chychrun, T. Hamonic, A. Zub",3,5,M. Jones,J. Korpisalo
401560301,"7:30 PM, March 17, 2024",NJ,VGK,"J. Bratt, E. Haula, N. Hischier, A. Holtz, J. Hughes, C. Lazar, K. MacDermid, T. Meier, D. Mercer, T. Nosek, O. Palat, C. Tierney, K. Bahl, N. DeSimone, L. Hughes, J. Marino, S. Nemec, B. Smith","M. Amadio, I. Barbashev, W. Carrier, P. Dorofeyev, J. Eichel, B. Howden, W. Karlsson, K. Kolesar, A. Mantha, J. Marchessault, N. Roy, C. Stephenson, N. Hanifin, B. Hutton, A. Martinez, B. McNabb, A. Pietrangelo, S. Theodore",1,3,J. Allen,L. Thompson
401560293,"11:00 PM, March 16, 2024",SJ,CBJ,"J. Bailey, A. Barabanov, T. Bordeleau, R. Carpenter, W. Eklund, M. Granlund, K. Kostin, L. Kunin, K. Labanc, N. Sturm, F. Zadina, F. Zetterlund, C. Addison, K. Burroughs, M. Ferraro, J. MacDonald, H. Thrun, M. Vlasic","T. Fix-Wolansky, J. Gaudreau, B. Gaunce, B. Jenner, K. Marchenko, C. Meyer, A. Nylander, M. Olivier, M. Pyyhtia, C. Sillinger, A. Texier, D. Voronkov, J. Bean, J. Christiansen, E. Gudbranson, I. Provorov, D. Severson, Z. Werenski",2,4,M. Chrona,D. Tarasov
