Game ID,Date,Away Team,Home Team,Away Roster,Home Roster,Away Score,Home Score,Away Goalie,Home Goalie
401459291,"9:00 PM, January 16, 2023",TB,SEA,"P. Bellemare, A. Cirelli, R. Colton, B. Hagel, A. Killorn, N. Kucherov, P. Maroon, V. Namestnikov, N. Paul, C. Perry, B. Point, S. Stamkos, Z. Bogosian, E. Cernak, I. Cole, H. Fleury, V. Hedman, M. Sergachev","M. Beniers, O. Bjorkstrand, A. Burakovsky, R. Donato, J. Eberle, M. Geekie, Y. Gourde, J. McCann, D. Sprong, B. Tanev, E. Tolvanen, A. Wennberg, W. Borgen, V. Dunn, A. Larsson, J. Oleksiak, J. Schultz, C. Soucy",4,1,A. Vasilevskiy,P. Grubauer
401459166,"3:00 AM, December 31, 2022",EDM,SEA,"W. Foegele, J. Hamblin, D. Holloway, Z. Hyman, M. Janmark, K. Kostin, C. McDavid, R. McLeod, R. Nugent-Hopkins, J. Puljujarvi, D. Ryan, K. Yamamoto, T. Barrie, E. Bouchard, C. Ceci, B. Kulak, M. Niemelainen, D. Nurse","M. Beniers, O. Bjorkstrand, A. Burakovsky, R. Donato, J. Eberle, M. Geekie, Y. Gourde, J. McCann, J. Schwartz, D. Sprong, B. Tanev, A. Wennberg, W. Borgen, V. Dunn, A. Larsson, J. Oleksiak, J. Schultz, C. Soucy",7,2,S. Skinner,P. Grubauer
401459815,"12:30 AM, April 4, 2023",NSH,DAL,"E. Afanasyev, R. Asplund, L. Evangelista, C. Glass, M. Jankowski, J. Leonard, M. McCarron, T. Novak, K. Sherwood, C. Sissons, P. Tomasino, Y. Trenin, T. Barrie, D. Fabbro, C. Foote, K. Gravel, R. McDonagh, S. Stastney","J. Benn, E. Dadonov, T. Dellandrea, M. Domi, R. Faksa, L. Glendening, R. Hintz, W. Johnston, F. Olofsson, J. Pavelski, J. Robertson, T. Seguin, J. Hakanpaa, T. Harley, M. Heiskanen, E. Lindell, C. Miller, R. Suter",1,5,J. Saros,S. Wedgewood
401459261,"12:00 AM, January 13, 2023",VAN,TB,"B. Boeser, C. Garland, B. Horvat, D. Joshua, A. Kuzmenko, C. Lazar, W. Lockwood, I. Mikheyev, J.T. Miller, L. Pederson, E. Pettersson, J. Studnicka, E. Bear, T. Dermott, Q. Hughes, T. Myers, L. Schenn, R. Stillman","P. Bellemare, A. Cirelli, R. Colton, B. Hagel, A. Killorn, N. Kucherov, P. Maroon, V. Namestnikov, N. Paul, C. Perry, B. Point, S. Stamkos, Z. Bogosian, E. Cernak, I. Cole, V. Hedman, N. Perbix, M. Sergachev",4,5,C. Delia,A. Vasilevskiy
401459789,"2:30 AM, April 1, 2023",DAL,ARI,"J. Benn, E. Dadonov, T. Dellandrea, M. Domi, R. Faksa, L. Glendening, R. Hintz, W. Johnston, J. Kiviranta, J. Pavelski, J. Robertson, T. Seguin, J. Hakanpaa, J. Hanley, M. Heiskanen, E. Lindell, C. Miller, R. Suter","T. Boyd, L. Crouse, C. Fischer, B. Hayton, M. Kelemen, C. Keller, M. Maccelli, J. McBain, L. O'Brien, B. Ritchie, N. Schmaltz, N. Smith, J. Brown, C. Mackey, J.J. Moser, P. Nemeth, V. Soderstrom, J. Valimaki",5,2,J. Oettinger,K. Vejmelka
401459258,"12:30 AM, January 13, 2023",MIN,NYI,"M. Boldy, C. Dewar, B. Duhaime, J. Eriksson Ek, M. Foligno, F. Gaudreau, J. Greenway, R. Hartman, K. Kaprizov, R. Reaves, S. Steel, M. Zuccarello, C. Addison, J. Brodin, M. Dumba, J. Merrill, J. Middleton, J. Spurgeon","J. Bailey, M. Barzal, A. Beauvillier, C. Cizikas, C. Clutterbuck, H. Fasching, S. Holmstrom, A. Lee, M. Martin, B. Nelson, J. Pageau, Z. Parise, S. Aho, N. Dobson, S. Mayfield, R. Pulock, A. Romanov, P. Wotherspoon",3,1,F. Gustavsson,I. Sorokin
401458620,"11:00 PM, October 15, 2022",DET,NJ,"T. Bertuzzi, A. Copp, A. Erne, D. Kubalik, D. Larkin, D. Perron, M. Rasmussen, L. Raymond, E. Soderblom, O. Sundqvist, P. Suter, J. Vrana, B. Chiarot, R. Hagg, F. Hronek, G. Lindstrom, O. Maatta, M. Seider","J. Bratt, E. Haula, N. Hischier, A. Holtz, J. Hughes, M. McLeod, D. Mercer, O. Palat, Y. Sharangovich, T. Tatar, M. Wood, F. Zetterlund, R. Graves, D. Hamilton, J. Marino, D. Severson, J. Siegenthaler, B. Smith",5,2,A. Nedeljkovic,V. Vanecek
401459502,"1:00 AM, February 22, 2023",VAN,NSH,"N. Aman, A. Beauvillier, B. Boeser, P. Di Giuseppe, S. Dries, C. Garland, D. Joshua, A. Kuzmenko, J.T. Miller, E. Pettersson, V. Podkolzin, J. Studnicka, E. Bear, K. Burroughs, Q. Hughes, T. Myers, R. Stillman, C. Wolanin","M. Duchene, C. Glass, M. Granlund, T. Jeannot, R. Johansen, N. Niederreiter, T. Novak, J. Parssinen, C. Sissons, C. Smith, P. Tomasino, Y. Trenin, M. Ekholm, D. Fabbro, K. Gravel, R. Josi, J. Lauzon, R. McDonagh",4,5,C. Delia,J. Saros
401459680,"2:00 AM, March 18, 2023",CBJ,ANA,"E. Bemstrom, L. Foudy, J. Gaudreau, B. Jenner, K. Johnson, P. Laine, K. Marchenko, M. Olivier, L. Pederson, E. Robinson, J. Roslovic, C. Sillinger, G. Bayreuther, T. Berni, N. Blankenburg, A. Boqvist, E. Gudbranson, A. Peeke","S. Carrick, M. Comtois, D. Grant, M. Jones, I. Lundestrom, B. McGinn, M. McTavish, J. Silfverberg, R. Strome, T. Terry, F. Vatrano, T. Zegras, N. Beaulieu, S. Benoit, C. Fowler, S. Harrington, K. Shattenkirk, C. White",4,7,M. Hutchinson,L. Dostal
401458832,"12:00 AM, November 14, 2022",WSH,TB,"N. Dowd, L. Eller, G. Hathaway, M. Johansson, E. Kuznetsov, A. Mantha, C. McMichael, S. Milano, A. Ovechkin, A. Protas, C. Sheary, D. Strome, J. Carlson, M. Fehervary, E. Gustafsson, M. Irwin, N. Jensen, T. van Riemsdyk","P. Bellemare, R. Colton, B. Hagel, A. Killorn, C. Koepke, N. Kucherov, P. Maroon, V. Namestnikov, N. Paul, C. Perry, B. Point, S. Stamkos, I. Cole, H. Fleury, V. Hedman, P. Myers, N. Perbix, M. Sergachev",3,6,C. Lindgren,A. Vasilevskiy
401458744,"2:50 AM, November 2, 2022",ANA,SJ,"M. Comtois, D. Grant, A. Henrique, M. Jones, B. Leason, I. Lundestrom, M. McTavish, J. Silfverberg, R. Strome, T. Terry, F. Vatrano, T. Zegras, N. Beaulieu, S. Benoit, C. Fowler, J. Klingberg, D. Kulikov, K. Shattenkirk","A. Barabanov, N. Bonino, L. Couture, T. Hertl, L. Kunin, K. Labanc, O. Lindblom, S. Lorentz, T. Meier, M. Nieto, N. Sturm, E. Svechnikov, M. Benning, M. Ferraro, E. Karlsson, J. Megna, R. Simek, M. Vlasic",6,5,A. Stolarz,K. Kahkonen
401459435,"5:30 PM, February 12, 2023",EDM,MTL,"L. Draisaitl, W. Foegele, D. Holloway, Z. Hyman, M. Janmark, E. Kane, C. McDavid, R. McLeod, R. Nugent-Hopkins, J. Puljujarvi, D. Ryan, T. Barrie, E. Bouchard, P. Broberg, C. Ceci, V. Desharnais, B. Kulak, D. Nurse","J. Anderson, J. Armia, A. Belzile, K. Dach, E. Dadonov, J. Drouin, C. Dvorak, R. Harvey-Pinard, M. Hoffman, M. Pezzetta, N. Suzuki, J. Ylonen, J. Barron, J. Harris, J. Kovacevic, M. Matheson, D. Savard, A. Xhekaj",2,6,S. Skinner,J. Allen
401459846,"9:30 PM, April 8, 2023",ANA,ARI,"S. Carrick, M. Comtois, D. Grant, A. Henrique, M. Jones, I. Lundestrom, M. McTavish, J. Megna, N. Nesterenko, J. Silfverberg, R. Strome, F. Vatrano, T. Zegras, N. Beaulieu, S. Benoit, C. Fowler, K. Shattenkirk, C. White","T. Boyd, L. Crouse, L. Dauphin, C. Fischer, B. Hayton, M. Kelemen, C. Keller, M. Maccelli, J. McBain, L. O'Brien, B. Ritchie, N. Schmaltz, J. Brown, C. Mackey, J.J. Moser, P. Nemeth, V. Soderstrom, J. Valimaki",4,5,O. Eriksson Ek,I. Prosvetov
401459077,"6:00 PM, December 17, 2022",OTT,DET,"D. Batherson, D. Brassard, R. Chartier, A. DeBrincat, D. Gambrell, C. Giroux, M. Kastelic, P. Kelly, T. Motte, S. Pinto, B. Tkachuk, A. Watson, E. Brannstrom, T. Chabot, T. Hamonic, N. Holden, J. Sanderson, N. Zaitsev","J. Berggren, A. Copp, A. Erne, D. Kubalik, D. Larkin, D. Perron, M. Rasmussen, L. Raymond, E. Soderblom, O. Sundqvist, P. Suter, J. Veleno, B. Chiarot, F. Hronek, O. Maatta, J. Oesterle, M. Seider, J. Walman",6,3,C. Talbot,V. Husso
