Game ID,Date,Away Team,Home Team,Away Roster,Home Roster,Away Score,Home Score,Away Goalie,Home Goalie
401559761,"12:30 AM, December 28, 2023",BOS,BUF,"J. Beecher, P. Brown, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, J. Lauko, B. Marchand, D. Pastrnak, P. Zacha, J. van Riemsdyk, B. Carlo, H. Lindholm, M. Lohrei, C. McAvoy, K. Shattenkirk, P. Wotherspoon","Z. Benson, D. Cozens, J. Greenway, T. Jost, P. Krebs, C. Mittelstadt, K. Okposo, V. Olofsson, J. Peterka, J. Quinn, J. Skinner, A. Tuch, C. Clifton, R. Dahlin, E. Johnson, R. Johnson, O. Power, M. Samuelsson",4,1,J. Swayman,D. Levi
401559316,"12:30 AM, October 23, 2023",BOS,ANA,"J. Beecher, P. Brown, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, J. Lauko, B. Marchand, D. Pastrnak, M. Poitras, P. Zacha, J. van Riemsdyk, B. Carlo, M. Grzelcyk, H. Lindholm, C. McAvoy, I. Mitchell, K. Shattenkirk","S. Carrick, B. Groulx, A. Henrique, R. Johnston, M. Jones, B. Leason, M. McTavish, J. Silfverberg, R. Strome, T. Terry, F. Vatrano, T. Zegras, C. Fowler, R. Gudas, J. LaCombe, I. Lyubushkin, P. Mintyukov, U. Vaakanainen",3,1,L. Ullmark,J. Gibson
401559939,"12:00 AM, January 21, 2024",MTL,BOS,"J. Anderson, J. Armia, C. Caufield, J. Evans, B. Gallagher, R. Harvey-Pinard, S. Monahan, M. Pezzetta, J. Roy, J. Slafkovsky, M. Stephens, N. Suzuki, J. Barron, K. Guhle, J. Harris, M. Matheson, D. Savard, J. Struble","J. Boqvist, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, J. Lauko, B. Marchand, D. Pastrnak, M. Poitras, P. Zacha, J. van Riemsdyk, B. Carlo, D. Forbort, M. Grzelcyk, H. Lindholm, C. McAvoy, K. Shattenkirk",4,9,C. Primeau,L. Ullmark
401559686,"12:30 AM, December 16, 2023",BOS,NYI,"J. Beecher, J. Boqvist, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, J. Lauko, B. Marchand, D. Pastrnak, O. Steen, J. van Riemsdyk, B. Carlo, M. Grzelcyk, H. Lindholm, M. Lohrei, K. Shattenkirk, P. Wotherspoon","M. Barzal, C. Cizikas, C. Clutterbuck, P. Engvall, H. Fasching, J. Gauthier, S. Holmstrom, B. Horvat, A. Lee, B. Nelson, J. Pageau, K. Palmieri, S. Aho, S. Bolduc, R. Bortuzzo, N. Dobson, M. Reilly, A. Romanov",5,4,L. Ullmark,I. Sorokin
401560254,"11:00 PM, March 11, 2024",STL,BOS,"Z. Bolduc, P. Buchnevich, K. Hayes, K. Kapanen, J. Kyrou, J. Neighbours, B. Saad, B. Schenn, O. Sundqvist, R. Thomas, A. Toropchenko, N. Walker, J. Faulk, M. Kessel, T. Krug, N. Leddy, C. Parayko, S. Perunovich","J. Boqvist, J. Brazeau, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, J. Lauko, B. Marchand, D. Pastrnak, P. Zacha, J. van Riemsdyk, B. Carlo, M. Grzelcyk, H. Lindholm, M. Lohrei, C. McAvoy, K. Shattenkirk",5,1,J. Hofer,J. Swayman
401559804,"12:00 AM, January 3, 2024",BOS,CBJ,"C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, J. Lauko, B. Marchand, G. Merkulov, D. Pastrnak, O. Steen, P. Zacha, J. van Riemsdyk, B. Carlo, M. Grzelcyk, H. Lindholm, M. Lohrei, C. McAvoy, K. Shattenkirk","E. Bemstrom, Y. Chinakhov, J. Danforth, A. Fantilli, J. Gaudreau, B. Gaunce, K. Johnson, K. Marchenko, J. Roslovic, C. Sillinger, A. Texier, D. Voronkov, J. Bean, J. Christiansen, E. Gudbranson, D. Jiricek, I. Provorov, D. Severson",4,1,L. Ullmark,S. Martin
401560310,"11:00 PM, March 19, 2024",OTT,BOS,"D. Batherson, C. Giroux, R. Greig, M. Joseph, M. Kastelic, B. Katchouk, P. Kelly, D. Kubalik, Z. Ostapchuk, S. Pinto, T. Stutzle, B. Tkachuk, J. Bernard-Docker, E. Brannstrom, T. Chabot, J. Chychrun, J. Sanderson, A. Zub","J. Beecher, J. Boqvist, J. Brazeau, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, J. Lauko, B. Marchand, D. Pastrnak, P. Zacha, B. Carlo, M. Grzelcyk, H. Lindholm, C. McAvoy, A. Peeke, K. Shattenkirk",2,6,J. Korpisalo,L. Ullmark
401560505,"12:00 AM, April 14, 2024",BOS,PIT,"J. Beecher, J. Boqvist, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, J. Lauko, B. Marchand, P. Maroon, D. Pastrnak, P. Zacha, B. Carlo, M. Grzelcyk, H. Lindholm, C. McAvoy, A. Peeke, K. Shattenkirk","E. Bemstrom, M. Bunting, J. Carter, S. Crosby, L. Eller, E. Malkin, D. O'Connor, V. Puustinen, R. Rakell, B. Rust, R. Smith, R. Zohorna, P. Joseph, E. Karlsson, K. Letang, M. Pettersson, R. Shea, J. St. Ivany",6,4,L. Ullmark,A. Nedeljkovic
401560123,"2:00 AM, February 23, 2024",BOS,CGY,"J. Boqvist, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, J. Lauko, B. Marchand, D. Pastrnak, A. Richard, P. Zacha, J. van Riemsdyk, B. Carlo, D. Forbort, M. Lohrei, C. McAvoy, K. Shattenkirk, P. Wotherspoon","M. Backlund, B. Coleman, W. Duehr, J. Huberdeau, D. Hunt, N. Kadri, A. Kuzmenko, A. Mangiapane, M. Pospisil, K. Rooney, Y. Sharangovich, C. Zary, R. Andersson, N. Hanifin, O. Kylington, B. Pachal, C. Tanev, M. Weegar",2,3,L. Ullmark,J. Markstrom
401560066,"12:00 AM, February 16, 2024",SEA,BOS,"M. Beniers, O. Bjorkstrand, A. Burakovsky, J. Eberle, Y. Gourde, T. Kartye, J. McCann, J. Schwartz, B. Tanev, T. Tatar, E. Tolvanen, A. Wennberg, W. Borgen, B. Dumoulin, V. Dunn, A. Larsson, J. Oleksiak, J. Schultz","J. Boqvist, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, B. Marchand, D. Pastrnak, A. Richard, O. Steen, P. Zacha, J. van Riemsdyk, B. Carlo, D. Forbort, M. Grzelcyk, H. Lindholm, C. McAvoy, P. Wotherspoon",4,1,J. Daccord,J. Swayman
401560208,"12:30 AM, March 6, 2024",EDM,BOS,"C. Brown, L. Draisaitl, W. Foegele, D. Holloway, Z. Hyman, M. Janmark, E. Kane, C. McDavid, R. McLeod, R. Nugent-Hopkins, C. Perry, D. Ryan, E. Bouchard, C. Ceci, V. Desharnais, M. Ekholm, B. Kulak, D. Nurse","J. Boqvist, J. Brazeau, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, J. Lauko, B. Marchand, D. Pastrnak, P. Zacha, J. van Riemsdyk, B. Carlo, M. Grzelcyk, M. Lohrei, C. McAvoy, K. Shattenkirk, P. Wotherspoon",2,1,S. Skinner,L. Ullmark
401559637,"6:00 PM, December 9, 2023",ARI,BOS,"N. Bjugstad, M. Carcone, L. Cooley, L. Crouse, M. Kelemen, C. Keller, A. Kerfoot, M. Maccelli, L. O'Brien, N. Schmaltz, J. Zucker, J. Brown, T. Dermott, M. Dumba, S. Durzi, J.J. Moser, T. Stecher, J. Valimaki","J. Beecher, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, B. Marchand, D. Pastrnak, M. Poitras, O. Steen, P. Zacha, J. van Riemsdyk, B. Carlo, M. Grzelcyk, H. Lindholm, M. Lohrei, I. Mitchell, K. Shattenkirk",3,5,C. Ingram,L. Ullmark
401559691,"12:00 AM, December 17, 2023",NYR,BOS,"N. Bonino, J. Brodzinski, W. Cuylle, B. Goodrow, C. Kreider, A. Lafreniere, A. Panarin, T. Pitlick, V. Trocheck, J. Vesey, B. Wheeler, M. Zibanejad, A. Fox, E. Gustafsson, R. Lindgren, K. Miller, B. Schneider, J. Trouba","J. Beecher, P. Brown, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, B. Marchand, D. Pastrnak, M. Poitras, O. Steen, J. van Riemsdyk, B. Carlo, M. Grzelcyk, H. Lindholm, M. Lohrei, K. Shattenkirk, P. Wotherspoon",2,1,I. Shesterkin,J. Swayman
401559600,"12:00 AM, December 4, 2023",CBJ,BOS,"Y. Chinakhov, J. Danforth, A. Fantilli, J. Gaudreau, B. Jenner, K. Johnson, S. Kuraly, P. Laine, K. Marchenko, M. Olivier, A. Texier, D. Voronkov, J. Bean, A. Boqvist, E. Gudbranson, D. Jiricek, I. Provorov, Z. Werenski","J. Beecher, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, J. Lauko, B. Marchand, D. Pastrnak, M. Poitras, P. Zacha, J. van Riemsdyk, B. Carlo, D. Forbort, M. Grzelcyk, H. Lindholm, C. McAvoy, K. Shattenkirk",1,3,S. Martin,J. Swayman
